text,score,score1,score2,score3,score4,score5
"Наступило лето. Количество экспертов в интернете резко сократилось,потому что их увезли к бабушкам в деревню.",3.4,3,3,1,5,5
"Пятилетний Вовочка на дне рождения говорит своей тёте: - Спасибо за подарок! - Не за что, малыш! - Я тоже так думаю, но мама велела вас поблагодарить.",3.2,4,2,4,4,2
"В крупном торговом центре наибольшим успехом пользуются услуги вип-консультанта, который отгоняет от посетителя всех других консультантов.",3.2,2,3,4,2,5
"Давайте так, когда с нами на связь наконец выйдет внеземная цивилизация, мы про конкурсы Мисс Вселенная ни слова, ок?",3.2,1,4,4,5,2
"Как передают из Челябинска, особенно пострадали от метеоритов витрины магазинов с бытовой техникой и сотовыми телефонами.",3.2,2,4,4,5,1
Всё что происходит в Бермудском треугольнике - остаётся в Бермудском треугольнике.,3.2,3,4,4,3,2
"Сеть супермаркетов ""Закрыто""! ""Закрыто"" - мы уже открылись! Когда у всех закрыто, ""Закрыто"" открыто. Открой для себя ""Закрыто""!",3.2,5,1,4,1,5
"Это мальчик! Закричал я, слезы катились по моему лицу. Я не могу в это поверить. Мальчик! Именно в тот момент я решил, что никогда снова не поеду в Таиланд.",3.2,1,5,1,5,4
"Классная вещь - телепульт! Нажал на кнопку - и ни тебе президента, ни премьера...",3.2,3,4,3,1,5
"Спортсмен внезапно умирает, попадает в рай и обращается к Богу: - Господи, скажи мне, я всю свою жизнь занимался спортом. От чего же я так рано умер? Бог: - От спорта, сын мой, от спорта!",3.2,5,3,3,3,2
"На тот случай, если Родине вздумается сказать: Надо!, у наиболее предусмотрительных припасены справки о полном отсутствии слуха.",3.2,4,5,2,1,4
"Пропала кроличья шапка. Кто нашёл, просьба вернуть. Кролик мёрзнет.",3.2,3,2,4,4,3
"Не то обидно, что моя хрущёвка настолько аварийна, что выглядит как Колизей, а то, что Колизей был построен несколько раньше...",3.2,2,1,4,4,5
"Производители телефонов стараются сделать их всё тоньше и тоньше, а мы не сдаёмся и покупаем чехлы.",3.2,5,3,5,1,2
"- Люся, просыпайся, в нашу дверь постучали восемь раз! - О, боже! Неужели осьминог?!..",3.2,3,5,3,4,1
"У меня была мечта. Вообще-то их было две, но я уже позавтракал.",3.2,4,3,3,4,2
"Современные пользователи, у которых на клавиатуре не работают кнопки «Х» и «П» практически беспомощны в сетевых дискуссиях.",3.2,4,4,2,2,4
"Все фильмы ужасов делятся на два класса: 1)Никто не выжил; 2)Выжил, кто не нужно.",3.2,4,1,5,1,5
- А почему вы шляпу носите? - Потому что шляпа не может сама ходить.,3.2,5,3,5,2,1
"– Есть чо из телефонов помоднее? – Вот, Apple iPhone X, это сейчас самый популярный смартфон. – Ну ниче так мобила... а есть побольше, XXL или XL хотя бы?",3.2,5,2,2,4,3
"Когда в беседе в подругой женщина говорит ""... и мой тоже..."" - вероятность того, что вас хвалят, равна нулю.",3.2,1,4,3,4,4
"Если у вас мигрень, необходимо устранить саму первопричину болезни: большой взрыв с последующим бесконечным расширением вселенной.",3.2,2,5,2,2,5
"Учительница задаёт первокласснику Вовочке вопрос: - Кто из домашних животных имеет четыре ноги? - Собака, кошка, коза, корова, - отвечает Вовочка. - Правильно! А ещё кто? - Два гуся.",3.2,5,3,2,5,1
"Каддафи с Илюмжиновым играли в шахматы. Илимжинов поставил шах и мат, а Каддафи и после этого продолжил партию.",3.2,4,2,5,3,2
"Если в Оке пристегнуть ремень безопасности, то получится рюкзак.",3.2,2,5,3,5,1
"А вас, Щирлиц, я попрошу остаться! - Борман, по КЗОТу рабочий день - восемь часов,- ответил Щирлиц. И задумался – не ляпнул ли он лишнего?",3.2,2,3,5,5,1
"Что подарить жене, если у неё есть всё, что мне нужно?",3.2,2,2,4,4,4
прогулял семинар по позитивному мышлению. наверняка туфта была,3.2,3,1,5,3,4
"Сегодня поймал себя на мысли, что читая статью в газете ищу внизу окошко Добавить комментарий",3.2,2,3,2,5,4
Пойти что ли к экзамену подготовиться... В жизни ведь надо всё попробовать!,3.2,3,1,2,5,5
"Гроза, дождь, шквалистый ветер. На холмике стоит ежик - пальцы растопырены, грудь выпячена: Я могучий! Я могучий!. Порывом ветра ежика сбивает с ног. Он катится кубарем под гору, встает, снова растопыривает пальцы, выпячивает грудь: Я могучий, только легкий!!!",3.2,5,4,2,4,1
"Однажды я так сильно расслабился, что до сих пор не смог напрячься обратно.",3.2,3,4,1,4,4
"Сегодня приснилось, что мой муж храпит... Утром просыпаюсь, всё нормально... не замужем",3.2,2,1,5,4,4
"В магазине рекламная акция: нашедшему бутылку просроченного молока, вторая в подарок!",3.2,5,1,2,3,5
"В военкомате на призывной комиссии парень говорит: - Я хочу служить во флоте. - А ты плавать-то умеешь? - А что, у вас кораблей нет?",3.2,3,2,5,1,5
Первый приз в номинации «Самый несамостоятельный человек» забрала мама победителя.,3.2,1,5,5,1,4
"Самые романтичные смс: “Думаю о тебе...“, “Люблю тебя...“, “Баланс вашей карты пополнен...“",3.2,1,3,4,3,5
"Часто то, что мы ищем, находится у нас под носом. Особенно когда мы ищем рот.",3.2,2,2,2,5,5
"- Ужас, - говорит Семён Маркович своему другу. - Моя дочь завтра выходит замуж, а я пообещал ей в приданое пять тысяч. Теперь половины приданого не хватает. - Ну и что? Обычно отдают только половину из обещанного приданого. - Так этой-то половины и не хватает!",3.2,5,2,1,4,4
"""Но!"", — крикнул извозчик.  ""Пассаран!"", — ответила лошадь.  Она была из наших и всё понимала.",3.2,2,4,5,2,3
Школьник с очень плохим зрением всю дискотеку кадрил куртку одноклассницы.,3.2,1,5,3,3,4
"Я ему доказываю что не изменяла, а он уперся рогами и не верит.",3.2,5,2,4,2,3
Мы и не заметили как на лавках перед подъездом выросло новое поколение бабок.,3.2,5,4,3,3,1
"Бежала за маршруткой, споткнулась, упала в лужу. Мимо проходил мужчина: Думаешь, вплавь быстрее?",3.0,2,4,2,5,2
"Если съесть весь торт целиком, не разрезая, то получится, что вы съели всего один кусочек.",3.0,2,3,5,4,1
"В данный момент я занимаюсь паркуром, только медленным… со стороны это выглядит, как будто я лежу на скамейке.",3.0,2,4,2,2,5
Экономический кризис помог мне снова встать на ноги. Банк через суд отобрал мою машину за невыплаты по автокредиту.,3.0,2,3,3,2,5
"В год от падающих кокосов погибает в 15 раз больше людей, чем из-за нападения акул. Но про кокосы не снято ни одного фильма ужасов, а жаль.",3.0,2,4,3,2,4
"Я люблю петь, но моей девушке это не нравится. Как и то, что я всегда пишу имена с маленькой буквы.",3.0,1,1,3,5,5
Поручика Ржевского спрашивают: - Оцените свой уровень пошлости по 100-бальной шкале. - 69.,3.0,1,4,4,4,2
"Дима волнуется раз, - Паша волнуется два, - Коля волнуется три -Катя идёт на узи!",3.0,4,5,1,3,2
"Тёща абсолютно уверена, что одежда в горизонтальную полоску полнит, а в вертикальную - худит. Ввёл её в замешательство - купил в клеточку.",3.0,3,5,3,3,1
"Лучший способ не выводить женщину из себя, это чтобы она была постоянно вне себя от счастья.",3.0,2,3,3,3,4
В моем обучении катанию на горных лыжах довольно быстро наступил переломный момент.,3.0,5,2,1,3,4
На улице Борисовские пруды демонтировали искусственные неровности. Они стали не нужны в связи с сезонным возникновением естественных.,3.0,5,4,3,1,2
Непонимание причин женской обиды не освобождает мужчину от ответственности.,3.0,1,3,3,3,5
"Урок литературы. Учитель спрашивает: — Ну что дети, вы прочитали «Войну и мир»? Молчание… Один парень подрывается с места, с ошарашенными глазами спрашивает: — А её чё читать надо было??? Учитель: — Ну да… — А я переписал!!!",3.0,2,3,5,4,1
"Дай ей чуть-чуть, и она скажет спасибо. Дай ей много - и она захочет больше!",3.0,5,3,1,3,3
"Вы, конечно, можете купить сервиз на 24 персоны. Только скажите, зачем вам вся эта толпа у вас дома?",3.0,3,2,3,2,5
Жизнь на волоске висит только у лампочки.,3.0,3,2,5,4,1
В России до сих пор широко распространена эксплуатация детских рук при вылавливании солёных огурцов из банки.,3.0,1,5,4,2,3
Себя надо любить и хвалить. Не поручать же такое ответственное дело чужим людям!,3.0,1,4,5,1,4
- Плохая примета: Чёрный кот перебежал дорогу! - Не... Плохая примета: Медведь разрывающий палатку,3.0,3,1,5,3,3
"Увидев подозрительный предмет, сделайте подозрительное лицо!",3.0,2,3,3,2,5
"Не исследовано еще 95% океана. Нельзя утверждать, что там нет Спанч Боба!",3.0,3,1,5,2,4
"Проснулся, оделся, посмотрел погоду, оделся еще раз.",3.0,3,1,4,3,4
"Каждый раз, когда кассир проверяет мою купюру, почему то чувствую себя как Штирлиц на грани провала.",3.0,2,3,5,4,1
"Я могу согласиться с тобой, но тогда мы оба будем неправы.",3.0,4,3,2,4,2
День финансиста. В этот день финансисты купаются в фонтанах шампанского и прыгают через пирамидки из черной икры.,3.0,5,1,1,3,5
Я всегда скромно беру самый большой кусочек,3.0,2,3,3,4,3
"Давай сразу договоримся, во сколько завтра ты отменишь нашу встречу?",3.0,2,5,2,3,3
"Ограблен склад с Виагрой. При задержании преступники оказались не вооружены, но очень опасны.",3.0,3,2,5,2,3
"В детстве Ильич мечтал стать звездой, а в результате получилась лампочка.",3.0,1,2,5,2,5
"Роман читался на одном дыхании, поэтому на пятнадцатой странице многие уже задыхались.",3.0,4,4,1,1,5
Большинству нынешних выпускников после успешной сдачи ЕГЭ нужно бы торжественно выдавать Аттистат о средним оброзавании.,3.0,2,3,4,3,3
- Мой сын - моя гордость! Его на две недели раньше выпустили из тюрьмы за примерное поведение.,3.0,1,4,4,4,2
"У подчиненных два отпуска, первый-свой, второй-отпуск начальника.",3.0,4,2,3,3,3
"Касатка, которая проглотила кучу денег, стала инкассаткой.",3.0,2,3,3,3,4
"Новости зоологии: в Африке обнаружен новый вид пернатых: страус-эмо. В отличие от обычных страусов он не зарывает голову в песок, а бьётся ею об камень и плачет.",3.0,5,1,2,3,4
"Интеллигентный человек, чтобы сделать людям приятное, будет делиться с ними горестями, а не радостями.",3.0,4,2,3,3,3
"В школьные годы я примерял свою фамилию к различным крутым законам и теориям. Звучало не очень, поэтому я решил гением не становиться.",3.0,4,3,3,1,4
В банке: - Какую сумму вы хотите взять в кредит? - 10 миллионов рублей. - Какие гарантии можете предоставить? - Знаете... в детстве я всегда возвращал сдачу родителям!,3.0,5,2,4,2,2
Как сказал один известный писатель - пописывать я начал практически с рождения.,3.0,4,4,4,1,2
"Должен ли джентльмен пожелать даме спокойной ночи, если дама спокойной ночи не желает?",3.0,3,5,1,1,5
Когда уже будет чемпионат по лежанию овощем? Я выведу нашу страну из этого болота спортивных неудач!,3.0,2,3,4,4,2
Офисная производственная гимнастика: качаем бицепс при помощи степлера.,3.0,5,1,3,3,3
"Самая необычная объяснительная о причине опоздания на работу: «Шкаф, где я обычно ночую, открыли с большим опозданием».",3.0,4,3,4,2,2
"В околоренной версии Семнадцати мгновений Штирлица разоблачили в 3 серии. Оказывается он краснел, когда врал.",3.0,1,1,5,4,4
"- А мой муж увлекается футболом. Каждые выходные ходит играть с друзьями. Вот и вчера ходил. Вернулся уставший, расстроенный. Проиграл... Все... До последней копейки!",2.8,1,1,2,5,5
"Российские космонавты Олег Котов и Сергей Рязанский установили рекорд пребывания в открытом космосе - 8 часов 7 минут!!! Могло бы быть и больше, но нашим парням всё-таки удалось вскрыть захлопнувшуюся дверь шлюза...",2.8,5,4,3,1,1
"Чтобы заработать, достаточно найти работу, а вот чтобы разбогатеть, тут нужна другая идея.",2.8,1,4,3,3,3
"Многие школьники, которым пришлось прочитать 4 тома Война и мир, жалеют, что на дуэли убили Пушкина, а не Толстого",2.8,2,3,5,3,1
"- Алло, здравствуйте, это министерство культуры? - Алло, здравствуйте, учтивый сударь, извините, не сердитесь, пожалуйста, но, к сожалению, вы ошиблись номером. Попробуйте еще раз! - Хорошо, спасибо... А разрешите поинтересоваться, куда я попал? - Как куда? Это прачечная!",2.8,5,4,1,3,1
"Люди научились летать, как птицы и плавать, как рыбы. Осталось только научиться жить, как люди.",2.8,5,2,1,5,1
"Наконец-то выяснилась причина поломок на орбитальной станции ""Мир"" - это российский космонавт.",2.8,2,5,2,1,4
Он снял свои шерстяные носки и поставил их в угол... Вот так были изобретены валенки.,2.8,3,3,4,1,3
"Если бы лень меняли в обменниках на деньги, я бы свою не поменял — мне лень.",2.8,2,3,3,1,5
"Нормальному человеку, чтобы выспаться, нужно еще 5 минут.",2.8,2,4,1,4,3
"Мне что-то подсказывает, что никакой интуиции не существует.",2.8,2,3,3,3,3
"Чтобы быть гениальным врачом как Доктор Хаус, нужны знания и сарказм. Для работы в районной поликлинике хватит и сарказма.",2.8,2,1,3,3,5
Завтра вам будет очень тяжело вставать! Не пропустите! В следующий раз такое будет только послезавтра!,2.8,3,3,3,3,2
"Сегодня чемпион по ""Доте"", а завтра дежурный по роте.",2.8,3,2,3,5,1
"Современные гаджеты позволяют в интернете не сидеть, а лежать.",2.8,5,3,2,3,1
Основная причина убогой игры нашей футбольной сборной - нежелание спортивных чиновников заниматься импортозамещением игроков.,2.8,3,2,2,3,4
Новогодние корпоративы - это самый сильный аргумент в пользу теории Дарвина.,2.8,3,3,2,3,3
- Даю советы как стать богатым. - А сам почему бедный? - Так мне никто советов не даёт.,2.8,1,3,2,5,3
"Хорошая погода, чистый воздух, ровное поле, круглый мяч, мальчишка не умеющий поднести мяч - все было против сборной России по футболу.",2.8,2,1,3,3,5
"Порой мои крепостные говорят, что я излишне старомоден...",2.8,1,3,3,2,5
Куст – это совокупность веток и листьев растущих из одного места.. А. Сивков,2.8,4,1,3,1,5
Я никогда не видел строящийся Макдоналдс или Бургер Кинг. Они просто появляются!,2.8,2,3,2,5,2
"— Мам, привет, можешь меня забрать? — Откуда? — Из взрослой жизни.",2.8,4,3,3,2,2
Блондинка заполняет анкету. Очередная графа: Какими видами физических упражнений занимаетесь? Никакими - честно пишет блондинка. Следующий вопрос анкеты: Как часто? Блондинка без малейших раздумий пишет: Каждый день.,2.8,4,2,2,5,1
Этим летом в лесах Центральной России наряду с лешими появились новые мифические существа - дымовые...,2.8,1,3,5,4,1
"—Любимый, ты помнишь как мы познакомились? —Сорок минут назад ты подсела ко мне и попросила угостить тебя мартини...",2.8,2,3,4,1,4
Установлена причина пожара в Библиотеке ИНИОН РАН - это загорелись от стыда работы ученых-плагиаторов.,2.8,1,4,5,3,1
"Летом 2014 года московский футбольный клуб Спартак установил новый рекорд на все времена: вылетел из розыгрыша Кубка Европы, так и не сыграв там ни одного матча.",2.8,4,4,4,1,1
"Моя девушка хотела котенка, а я нет, поэтому мы пошли на компромисс и завели котенка.",2.8,1,1,4,5,3
"Вова! На прошлом родительском собрании учитель физкультуры жаловался, что у тебя дисциплина хромает. Ты уже отреагировал на замечание? Отреагировал. Теперь учитель хромает!",2.8,3,5,1,4,1
"Никогда не сдавайся! Наберись терпения и спокойно лежи на диване до тех пор, пока в жизни не наступят перемены к лучшему.",2.8,5,4,2,1,2
"Похоже, что своим детям я буду показывать не большие пыльные фотоальбомы с моими фотографиями, а ленту инстаграма.",2.8,3,3,2,1,5
"Поручик Ржевский, мечтательно: - Господа, недавно услышал такое красивое женское имя - Кондолиза. Как думаете, что оно означает? Полковник, багровея: - Поручик, молчать!!! Здесь же солдаты!",2.8,5,4,1,3,1
"- Товарищ Швондер, я вам уже писал в домоуправление, что у меня в квартире крыша протекает. - Это потому, гражданин Преображенский, что идёт дождь. Неужели не понятно?",2.8,4,1,2,4,3
"Звонок юзерши сисадмину: - Отключите меня от вирусов! - Пожалуйста! Как вам будет удобнее - отключить ваш компьютер от сети, или вас от компьютера?",2.8,1,4,1,5,3
"Николай Валуев никогда не запоминает пин-коды своих кредиток, ведь еще ни один банкомат не отказал ему в выдаче денег.",2.8,3,5,2,3,1
"Только девушкам знакомо то чувство, когда вроде все хорошо, но в тоже время все плохо и ты сейчас заплачешь. Но ведь все хорошо. Но все таки плохо. И непонятно. Хотя все чудесно. И вообще. И все.",2.8,3,1,3,3,4
"- Мама, у меня для тебя 2 новости, хорошая и плохая. - Давай сначала хорошую. - Я прошла тест! - Ну и отлично. А плохая? - Это был тест на беременность.",2.8,1,3,4,2,4
"Мужик сказал - мужик сделал… вид, что нихрена не говорил.",2.8,5,2,2,2,3
"С 9ти до 11ти фирма трудилась, не покладая рук. А потом починили интернет...",2.8,5,1,3,4,1
"- В чём отличие между аспирантом, доцентом и профессором? - Доцент может долго рассуждать на тему, о которой аспирант и двух слов толком связать не сможет, а профессор сможет высказаться в двух словах.",2.8,5,1,2,3,3
Добавляйте меня в друзья. Я вам на личном примере покажу что такое разочарование в людях.,2.8,3,1,4,3,3
"Мне одному хочется, чтобы на всех сайтах защита от роботов была заменена на защиту от школьников?",2.8,5,1,1,3,4
"Доверие к ясновидящей падает после того, как она просит у тебя номер контактного телефона.",2.8,3,3,2,1,5
"XIX век, Лондон, время мафии Мориарти: - Ватсон, главное - не садитесь ни в первый, ни во второй кэб, который к вам подъедет! XXI век, интернет, время SEO (оптимизации поиска) и Google AdWords: - Главное - не нажимай ни на первую, ни на вторую ссылку, которую тебе выдаст поиск!",2.8,4,2,3,1,4
Паломники со всей страны дважды в год стекаются в медкомиссию военкомата N 35 - каждую весну и осень здесь происходит чудо массового выздоровления.,2.8,3,4,3,2,2
"21 век. Технологии. У меня в кармане штука, которая совершает миллиарды операций в минуту. Я грею в трёх кастрюлях воду, чтобы искупаться.",2.8,1,4,4,2,3
"Овны, сегодня вы увидите на улице автобус. Возможно нет.",2.8,1,1,5,4,3
"Борьбу за права хищников ведут только те травоядные, которые живут в вольерах.",2.8,2,5,1,5,1
На чужом несчастье счастье не построишь! Да не прятала я твой вискарь!,2.8,2,2,3,3,4
"Растения полезны - они выделяют кислород, жизненно необходимый автомобилям.",2.8,1,2,5,1,5
"Если вы начнете понемногу откладывать каждый месяц, то уже через год удивитесь, как мало вы накопили.",2.8,4,2,4,3,1
"""Подъем! Нас ждут великие дела!"" Но внутренний голос шепчет, что если ждут, значит, любят, а если любят, то подождут, хотя бы еще полчаса...",2.8,5,2,1,3,3
"Холодной женщине приходится греться в шубе, купленной на свои деньги…",2.8,3,4,5,1,1
"Хочу выразить свою признательность человеку, придумавшему имя Ашот! Благодаря ему, я знаю, куда, народными способами отвадить икоту от трёхлетнего сынишки Федота, не нарушая рифмы заговора!",2.8,3,1,4,3,3
"Список самых главных навыков, которым я научился на работе: 1. Открыто бездельничать. 2. Имитировать работу (скрыто бездельничать).",2.8,3,1,3,5,2
"Маленький муравей бегал кругами вокруг коробки с печеньем. Его друг, другой муравей, наблюдавший эту картину, спросил: - Что означает эта спешка? - Ну, тут есть надпись: Рви вдоль пунктирной линии.",2.8,3,1,1,4,5
"Можно дожить до ста лет, если отказаться от всего того, ради чего хочется жить эти сто лет.",2.8,4,1,2,5,2
"Все женщины двуличные - одна личность добрая и нежная, а вторая появляется тогда, когда обидят первую.",2.8,3,2,1,5,3
- Новый год! Новый год!! Новый год!!! - в ужасе кричала печень.,2.8,2,2,3,2,5
"Реклама утверждает, что бритва Жиллет обладает смазывающей полоской и плавающей головкой. К тому же она еще и вибрирует! Простите, это точно бритва?",2.8,3,3,3,2,3
Бескомпромиссная позиция плохо сочетается с мозолями на локтях и коленях.,2.8,3,2,4,1,4
"По мнению генералов,кремль ,как оборонительное сооружение ,уже давно не соответствует мировым стандартам.",2.8,5,1,1,2,5
Моя мама ищет интеллигентных собеседников по единственному принципу - чтобы не перебивали...,2.6,2,1,2,3,5
Виртуальные платежи лишили нас романтики брошенных в рожу денег.,2.6,3,3,2,1,4
"Из школьного сочинения: Мы с ребятами уже разожгли настоящий пионерский костёр. Но потом прибежали люди из деревни и стали его гасить, потому что в костёр случайно попал их стог сена.",2.6,2,4,4,2,1
"Конец света 21 декабря в пятницу, лучше бы он был в понедельник, хоть на работу идти не надо и выходные не пропадут.",2.6,2,5,3,2,1
"Чтобы не показаться доступной на первом свидании, девушка ела банан ложкой.",2.6,4,1,4,3,1
"- Вовочка, кем бы ты хотел стать, когда вырастешь? - Взрослым.",2.6,4,3,3,2,1
"Начальник, помни! Белым (не загоревшим) цветом обозначены сотрудники, которые всё ещё хотят в отпуск!",2.6,3,2,5,2,1
"- Как твой бизнес, процветаешь понемногу? - Какие там процветания! Честных людей становится всё меньше и меньше, скоро и обманывать будет некого.",2.6,3,2,2,3,3
